Code,Year,Emissions-Transfers
LVA,1992,-0.539
LVA,1993,-0.654
LVA,1994,-0.792
LVA,1995,-0.838
LVA,1996,-1.285
LVA,1997,-1.458
LVA,1998,-1.407
LVA,1999,-0.958
LVA,2000,-1.067
LVA,2001,-1.052
LVA,2002,-0.944
LVA,2003,-1.752
LVA,2004,-1.722
LVA,2005,-1.284
LVA,2006,-1.668
LVA,2007,-1.979
LVA,2008,-1.901
LVA,2009,-1.529
LVA,2010,-1.214
LVA,2011,-1.310
LVA,2012,-1.504
LVA,2013,-1.453
LVA,2014,-1.415
LVA,2015,-1.395
LVA,2016,-1.444
LVA,2017,-1.542
MAR,1990,-2.486
MAR,1991,-2.738
MAR,1992,-2.131
MAR,1993,-2.102
MAR,1994,-2.225
MAR,1995,-2.347
MAR,1996,-1.227
MAR,1997,-0.754
MAR,1998,-1.499
MAR,1999,-1.871
MAR,2000,-1.917
MAR,2001,-1.676
MAR,2002,-2.611
MAR,2003,-1.237
MAR,2004,-1.180
MAR,2005,-1.257
MAR,2006,-1.427
MAR,2007,-1.361
MAR,2008,-2.225
MAR,2009,-1.532
MAR,2010,-1.394
MAR,2011,-1.745
MAR,2012,-1.491
MAR,2013,-1.367
MAR,2014,-1.188
MAR,2015,-0.983
MAR,2016,-0.856
MAR,2017,-0.762
MDG,1990,-0.125
MDG,1991,-0.130
MDG,1992,-0.133
MDG,1993,-0.147
MDG,1994,-0.152
MDG,1995,-0.164
MDG,1996,-0.075
MDG,1997,-0.079
MDG,1998,-0.191
MDG,1999,-0.251
MDG,2000,-0.134
MDG,2001,-0.175
MDG,2002,-0.122
MDG,2003,-0.358
MDG,2004,-0.223
MDG,2005,-0.423
MDG,2006,-0.293
MDG,2007,-0.341
MDG,2008,-0.517
MDG,2009,-0.521
MDG,2010,-0.407
MDG,2011,-0.377
MDG,2012,-0.414
MDG,2013,-0.440
MDG,2014,-0.465
MDG,2015,-0.406
MDG,2016,-0.375
MDG,2017,-0.410
MEX,1990,-1.288
MEX,1991,-1.523
MEX,1992,-1.891
MEX,1993,-1.119
MEX,1994,-0.424
MEX,1995,2.261
MEX,1996,1.090
MEX,1997,-1.899
MEX,1998,-3.690
MEX,1999,-3.553
MEX,2000,-6.898
MEX,2001,-5.123
MEX,2002,-6.115
MEX,2003,-7.283
MEX,2004,-5.340
MEX,2005,-8.250
MEX,2006,-8.869
MEX,2007,-3.449
MEX,2008,-4.208
MEX,2009,-6.067
MEX,2010,-7.823
MEX,2011,-5.335
MEX,2012,-10.868
MEX,2013,-12.337
MEX,2014,-12.564
MEX,2015,-9.228
MEX,2016,-7.438
MEX,2017,-6.787
MLT,1990,-0.197
MLT,1991,-0.211
MLT,1992,-0.177
MLT,1993,-0.194
MLT,1994,-0.202
MLT,1995,-0.237
MLT,1996,-0.253
MLT,1997,-0.204
MLT,1998,-0.510
MLT,1999,-0.321
MLT,2000,-0.431
MLT,2001,-0.568
MLT,2002,-0.301
MLT,2003,-0.655
MLT,2004,-0.165
MLT,2005,-0.455
MLT,2006,-0.618
MLT,2007,-0.191
MLT,2008,-0.669
MLT,2009,-0.756
MLT,2010,-0.642
MLT,2011,-0.802
MLT,2012,-1.051
MLT,2013,-0.711
MLT,2014,-0.731
MLT,2015,-0.888
MLT,2016,-0.929
MLT,2017,-0.938
MNG,1990,0.229
MNG,1991,0.272
MNG,1992,0.527
MNG,1993,0.543
MNG,1994,0.376
MNG,1995,0.292
MNG,1996,0.059
MNG,1997,0.223
MNG,1998,0.233
MNG,1999,0.222
MNG,2000,0.167
MNG,2001,0.238
MNG,2002,0.249
MNG,2003,-0.043
MNG,2004,0.043
MNG,2005,-0.019
MNG,2006,-0.148
MNG,2007,-0.046
MNG,2008,-0.230
MNG,2009,-0.097
MNG,2010,-0.207
MNG,2011,-0.522
MNG,2012,-0.010
MNG,2013,0.555
MNG,2014,0.475
MNG,2015,0.122
MNG,2016,0.437
MNG,2017,0.515
MOZ,1990,-0.649
MOZ,1991,-0.661
MOZ,1992,-0.649
MOZ,1993,-0.735
MOZ,1994,-0.760
MOZ,1995,-0.845
MOZ,1996,-0.436
MOZ,1997,-0.238
MOZ,1998,-0.631
MOZ,1999,-0.943
MOZ,2000,-0.969
MOZ,2001,-0.790
MOZ,2002,-0.807
MOZ,2003,-0.750
MOZ,2004,-0.711
MOZ,2005,-0.907
MOZ,2006,-1.201
MOZ,2007,-1.376
MOZ,2008,-1.577
MOZ,2009,-1.939
MOZ,2010,-1.707
MOZ,2011,-1.914
MOZ,2012,-2.109
MOZ,2013,-2.511
MOZ,2014,-2.451
MOZ,2015,-2.453
MOZ,2016,-2.413
MOZ,2017,-2.284
MUS,1990,-0.355
MUS,1991,-0.375
MUS,1992,-0.361
MUS,1993,-0.408
MUS,1994,-0.449
MUS,1995,-0.494
MUS,1996,-0.584
MUS,1997,-0.585
MUS,1998,-0.486
MUS,1999,-0.487
MUS,2000,-0.509
MUS,2001,-0.401
MUS,2002,-0.442
MUS,2003,-0.477
MUS,2004,-0.519
MUS,2005,-0.371
MUS,2006,-0.395
MUS,2007,-0.328
MUS,2008,-0.383
